tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1442326734779547649,3364247951,2021-09-27 03:14:25+00:00,breaking news upon monday sit home destroying business beg burri release may nnamdi kann allen oedema co airplane company allen oedema cried termed low income making currently result upon,https://t.co/wkVTGtf9pg,,en,210,169,73,18,,penchatnews
1438861098816524292,853014935042916352,2021-09-17 13:43:13+00:00,here something random stumbled across march iberian air force airlifted cfm563c1 engines belonging air peace labor ferri source kipsyprince,https://t.co/EIqEdRye21,,en,104,40,3,1,,
1441062755566501892,1191305835131154432,2021-09-23 15:31:49+00:00,air peace flies abuse ferri cheaper option,,,en,5,3,7,0,,AbujaTwitterCommunity
1440582997103632389,610702056,2021-09-22 07:45:25+00:00,air peace boss oedema gifts super falcon nom,https://t.co/BMRZu1nZ7S,,en,7,0,0,0,,
1441051513946877957,35455609,2021-09-23 14:47:09+00:00,air peace came gave everyone airport lounge small crops celebrate new aircraft also refused money last delay going enjoy small crops first come months need learn real deal fewer delays,https://t.co/n6sgKcnTwy,,en,51,9,6,2,,
1441429397001494530,372486798,2021-09-24 15:48:43+00:00,yesterday september word air peace took delivery fourth embraced e195e2 5nbyi via read,https://t.co/hvgGTciYhq,@aero_in,en,8,2,0,0,,AirPeace Embraer E2 RadarBox Aeroin
1439687279468064777,1379445576580861953,2021-09-19 20:26:10+00:00,ah air peace dirty,,,en,2,1,1,0,,
1441724361438900225,229955021,2021-09-25 11:20:48+00:00,head full come best place possible,https://t.co/dz2HcJw9mM,,en,7,0,0,0,,beach air peace
1436017571774570502,851784015145316352,2021-09-09 17:24:03+00:00,one best skippers air peace landing smooth silk,https://t.co/sRiClDUF0r,,en,13,5,0,0,,
1441327374054744065,3067952663,2021-09-24 09:03:19+00:00,air peace connect cities new aircraft,https://t.co/50yxhMRuYG,,en,0,0,0,0,,
1441124143647404033,3067952663,2021-09-23 19:35:45+00:00,air peace welcomes another embraced e195 aircraft fleet,https://t.co/yFrLMOt8CE,,en,0,0,0,0,,
1443046181609803780,520720055,2021-09-29 02:53:14+00:00,sun award given hope oedema air peace co,https://t.co/7MCGOY7InZ,,en,0,0,0,0,,Nigeria NigeriaNews
1442495300879495179,288003593,2021-09-27 14:24:14+00:00,like air peace dey whine,https://t.co/aHVqbjvGiM,,en,0,0,2,0,,
1442449518415519747,520720055,2021-09-27 11:22:19+00:00,burri gros release nnamdi kann air peace chairman oedema video,https://t.co/n5QAa6YbG4,,en,0,0,0,0,,Nigeria NigeriaNews
1435678709273485314,1954402777,2021-09-08 18:57:32+00:00,video super eagles receive nom air peace co defeating cape verse,https://t.co/GxtVz2bpEV,@flyairpeace,en,63,17,3,0,,WorldCupQualifiers
1435688293841059842,2939497901,2021-09-08 19:35:37+00:00,air peace boss fulfill cash promise super eagles harp unity,https://t.co/gt2HKSN5tf,,en,0,0,0,0,,
1442055031897813005,846907111,2021-09-26 09:14:46+00:00,アサヒ生ビールが売れすぎて一時休売ってこれ完全にガッキーが可愛すぎるからだろ,https://t.co/9iigXohP25,,ja,3,0,0,0,,
1442847860593147915,846907111,2021-09-28 13:45:11+00:00,小室圭について調べようと思ったら眞子さまのwikiにイニシャルkで載っててわろた,https://t.co/DD1dMOLlUG,,ja,4,1,0,2,,
1442579205183574019,39975533,2021-09-27 19:57:38+00:00,air peace sponsor with edition under ultimate search,https://t.co/1Sro5EzmLs,,en,25,5,0,0,,vanguardnews
1441093280410714126,39975533,2021-09-23 17:33:06+00:00,air peace airline receives th brand new embraced 195e2 aircraft,https://t.co/sqErZgrldb,,en,12,6,1,0,,vanguardnews
1433111580535836687,374999591,2021-09-01 16:56:41+00:00,air peace partners off official airline national team,https://t.co/WP2RSBSEWW,,en,15,4,0,0,,
1434971551112257545,195042108,2021-09-06 20:07:32+00:00,allen oedema listing airline air peace enjoying administration despite lies government supporting into business,https://t.co/qST1LjC3eb,,en,66,38,1,3,,
1433537928966328322,1355004134274031618,2021-09-02 21:10:50+00:00,burri waves n13bn taxes air peace supposed pay following acquisition brand new aircraft brazil,https://t.co/bEP4P1rUTs,,en,519,223,30,39,,
